UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Economía de la Empresa,ADEH01,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Contabilidad,ADEH02,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Matemáticas,ADEH03,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Comunicación y Lenguaje,ADEH04,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Fundamentos de Administración,ADEH05,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Ofimática,ADEH06,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",2,"Derecho Laboral, Mercantil y Societario",ADEH07,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",2,Comportamiento y Desarrollo Organizacional,ADEH08,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",2,Gestión del Talento Humano,ADEH09,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",2,Administración,ADEH10,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",3,Educación en Valores y Derechos Ciudadanos,ADEH11,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",3,Emprendimiento,ADEH12,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",3,Estadística Descriptiva,ADEH13,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",3,Marketing,ADEH14,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",3,Estadística Inferencial,ADEH15,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",4,Administración Estratégica,ADEH16,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",4,Gestión por Procesos,ADEH17,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",4,Gestión de la Calidad,ADEH18,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",4,Investigación de Operaciones,ADEH19,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",4,Gestión Ambiental,ADEH20,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",5,Logística Empresarial,ADEH21,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",5,Organización Administrativa de Empresas Familiares,ADEH22,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",5,Administración de la Producción,ADEH23,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",5,Gestión Tributaria,ADEH24,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",5,Investigación de Mercado,ADEH25,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",6,Administración Presupuestaria,ADEH26,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",6,Gestión Financiera,ADEH27,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",6,Valoración de Empresas,ADEH28,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",6,Investigación Orientada a la Administración,ADEH29,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",6,Contabilidad de Costos,ADEH30,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",7,Administración de la Innovación,ADEH31,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",7,Administración de los Servicios,ADEH32,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",7,Sistemas de Información Empresarial,ADEH33,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",7,Mercados Financieros,ADEH34,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",7,Comercio Internacional,ADEH35,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",7,Administración Pública,ADEH36,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",7,Seminario de Titulación,ADEH37,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",8,Desarrollo del Trabajo de Titulación,ADEH38,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
UTM,ADMINISTRACIÓN DE EMPRESAS,HÍBRIDA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",8,Formulación y Evaluación de Proyectos,ADEH39,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-hibrida
