UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",1,Matemáticas,CONH01,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",1,Administración,CONH02,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",1,Legislación Mercantil y Societaria,CONH03,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",1,Contabilidad Básica,CONH04,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",2,Introducción a la Investigación Científica,CONH05,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",2,Estadística,CONH06,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",2,Legislación Laboral,CONH07,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",2,Microeconomía,CONH08,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",3,Educación en Valores y Derechos Ciudadanos,CONH09,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
UTM,CONTABILIDAD Y AUDITORÍA,HÍBRIDA,REDISEÑO,"Profesionales con sólidos conocimientos en contabilidad, auditoría, tributación y finanzas, con habilidades para emitir reportes y dictámenes técnicos en el marco legal vigente, usando herramientas informáticas y criterio profesional.",3,Macroeconomía,CONH10,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-contabilidad-y-auditoria-modalidad-hibrida
